Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,363.674087113049
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.09042119979858
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,6377.20309553753
Algeria,DZA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.29934740066528
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3700.31119460857
American Samoa,ASM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,15743.3107582991
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.58397221565247
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,42072.341103463
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.2971088886261
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,1903.71740495688
Antigua and Barbuda,ATG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.88049030303955
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,16740.3481963818
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.6476001739502
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10636.1155301986
Armenia,ARM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.77133989334106
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4966.51347122366
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,29342.1007300268
Australia,AUS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.55604839324951
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,60444.5023551978
Austria,AUT,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.98649978637695
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,53637.7057109897
Azerbaijan,AZE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.7020800113678
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5408.04535175023
"Bahamas, The",BHS,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.57300591468811
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,28260.4325506367
Bahrain,BHR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.22052526473999
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,26860.0725018105
Bangladesh,BGD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.83117997646332
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2457.92404902236
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.97599983215332
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,17225.4623044097
Belarus,BLR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.60641002655029
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7489.71894713888
Belgium,BEL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.23423337936401
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,51268.3880373598
Belize,BLZ,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.85649013519287
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6228.26730928353
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.19318079948425
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1361.10074905831
Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.88491690158844
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,111774.669092278
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,6.97416210174561
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,3266.36277371286
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3345.19658838387
Bosnia and Herzegovina,BIH,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..
